keys,values
not,1.0
but,0.6043119847812302
so,0.43563728598604945
month,0.38110336081166774
product,0.3589093214965124
as,0.35700697526949904
after,0.35066582117945466
use,0.3443246670894103
very,0.3379835129993659
out,0.3379835129993659
s,0.3348129359543437
just,0.3278376664552949
would,0.3189600507292327
time,0.30818008877615727
year,0.3018389346861129
be,0.28408370323398857
when,0.2809131261889664
get,0.26506024096385544
like,0.25428027901078
about,0.2536461636017755
hot,0.24603677869372226
if,0.22828154724159797
they,0.22828154724159797
me,0.22764743183259353
work,0.22764743183259353
from,0.22637920101458464
only,0.22447685478757134
blow,0.22447685478757134
no,0.2219403931515536
than,0.22130627774254916
will,0.21686746987951808
off,0.21496512365250475
bought,0.212428662016487
used,0.21179454660748256
too,0.20989220038046924
back,0.2092580849714648
don,0.20862396956246038
buy,0.20672162333544705
cord,0.20291693088142043
because,0.20228281547241597
all,0.1959416613823716
dry,0.1946734305643627
or,0.19340519974635384
do,0.19150285351934052
up,0.18452758402029168
are,0.17882054533925174
working,0.17628408370323398
good,0.17564996829422955
your,0.17438173747622068
did,0.17374762206721622
ha,0.1731135066582118
setting,0.17121116043119847
now,0.1686746987951807
first,0.1648700063411541
great,0.16296766011414077
air,0.16233354470513633
can,0.160431198478123
Conair,0.1553582752060875
last,0.1553582752060875
money,0.1534559289790742
what,0.1534559289790742
even,0.1521876981610653
two,0.15091946734305645
other,0.14584654407102093
Star,0.14584654407102093
hairdryer,0.14267596702599875
more,0.14204185161699429
didn,0.1388712745719721
Amazon,0.13823715916296767
using,0.13696892834495877
worked,0.13696892834495877
heat,0.13696892834495877
am,0.13696892834495877
then,0.13506658211794548
review,0.13506658211794548
much,0.13443246670894102
long,0.13379835129993659
well,0.13189600507292326
really,0.12999365884590997
which,0.12999365884590997
purchased,0.12999365884590997
return,0.12999365884590997
does,0.1293595434369055
m,0.12872542802790107
high,0.12809131261889664
there,0.12618896639188332
stopped,0.12428662016487001
day,0.12111604311984782
never,0.11794546607482562
while,0.11731135066582118
doesn,0.11731135066582118
another,0.11414077362079898
way,0.1128725428027901
thing,0.1128725428027901
got,0.11223842739378567
week,0.11223842739378567
also,0.11160431198478123
before,0.11033608116677235
again,0.10970196575776792
disappointed,0.10906785034876347
dryers,0.10779961953075459
few,0.10526315789473684
ve,0.1046290424857324
new,0.10399492707672796
enough,0.10399492707672796
started,0.10272669625871908
less,0.10082435003170577
button,0.10019023462270134
low,0.09955611921369689
lasted,0.09892200380469246
power,0.09892200380469246
could,0.09828788839568801
better,0.0963855421686747
been,0.09384908053265695
item,0.0932149651236525
them,0.09258084971464807
waste,0.09194673430564362
drying,0.09131261889663919
make,0.09067850348763475
broke,0.08941027266962587
old,0.08877615726062144
handle,0.08877615726062144
fire,0.08750792644261256
we,0.08687381103360811
same,0.08433734939759036
over,0.08370323398858592
warranty,0.08306911857958148
purchase,0.08243500317057705
fine,0.08243500317057705
by,0.0818008877615726
still,0.0818008877615726
any,0.08053265694356374
second,0.07989854153455929
recommend,0.07989854153455929
thought,0.07989854153455929
died,0.07926442612555486
problem,0.07926442612555486
since,0.07799619530754598
heavy,0.0767279644895371
unit,0.07609384908053266
switch,0.07545973367152822
should,0.0735573874445149
quality,0.07292327203551047
ago,0.07292327203551047
how,0.07292327203551047
longer,0.07228915662650602
little,0.07102092580849714
turn,0.07102092580849714
going,0.07102092580849714
wall,0.07038681039949271
take,0.06975269499048826
bad,0.06911857958148383
were,0.06911857958148383
attachment,0.06911857958148383
cheap,0.06848446417247939
cool,0.06848446417247939
loud,0.06848446417247939
minute,0.06848446417247939
price,0.06785034876347495
something,0.06785034876347495
these,0.06594800253646163
into,0.06594800253646163
know,0.06467977171845275
short,0.06404565630944832
worth,0.06341154090044387
tried,0.06341154090044387
model,0.06341154090044387
spark,0.06341154090044387
every,0.061509194673430564
retractable,0.061509194673430564
speed,0.061509194673430564
until,0.061509194673430564
However,0.060875079264426125
piece,0.060240963855421686
light,0.05960684844641725
away,0.05960684844641725
need,0.05960684844641725
went,0.05897273303741281
its,0.05833861762840837
replacement,0.05833861762840837
made,0.05770450221940393
head,0.05770450221940393
seem,0.05770450221940393
plug,0.05770450221940393
look,0.05770450221940393
bonnet,0.05770450221940393
ordered,0.05580215599239061
down,0.05580215599239061
right,0.05580215599239061
returned,0.05580215599239061
received,0.05580215599239061
hold,0.05580215599239061
Andis,0.055168040583386174
burned,0.054533925174381735
replace,0.053899809765377296
brand,0.053899809765377296
see,0.053899809765377296
hard,0.05326569435637286
maybe,0.05326569435637286
small,0.05326569435637286
think,0.05263157894736842
